trade_date,ts_code,predict_value,close,ep,ep_cut,bp,sp,dp,g_pe,netprofit_yoy,eps_yoy,roe,roa,total_assets,total_liabilities,equity,current_ratio,grossprofit_margin,netprofit_margin,debt_ratio,debt_to_equity_ratio,ma3,ma6,ma9,ma12,momentum,volatility,rsi,ma3_cross_ma9,ma3_cross_ma12
2016-01-31,601919.SH,1.0989010989010917,-0.6236410306493754,-0.920894401162029,-0.6068707455613941,-0.10735056219915015,0.4913684051093193,-0.8961577279043874,-0.09271903775131034,-0.16441046920637592,-0.14670745043558417,-0.41611818828890335,-0.2943264995302637,-0.20970038108221672,-0.2110562311323052,-0.17393533971823777,-0.1299513396896112,-1.0352898079975272,-0.04047235639313378,0.7050434344566608,-0.057151364506933394,-0.5120772833369179,-0.47847511665390036,-0.48495965582607004,-0.5388837033043732,-0.561666941425379,-0.3959432853222155,0.6651475290386493,0,0
2016-01-31,600018.SH,-0.6423982869379068,-0.6567194557303067,0.31832447794863045,0.24205810797574104,0.24748312815043838,-0.4936774012018908,1.1199326480262148,-0.07492011191815162,-0.11121392423723131,-0.07889055697078134,0.6113685666845942,1.2687420228753714,-0.2270583365391691,-0.23823902612627515,-0.0820092797130169,-0.16810982569117208,0.262839718335516,-0.03963926665440234,-0.9396637345859095,-0.5545219907849345,-0.6285066109577112,-0.632874026567581,-0.6473786735006969,-0.6774363268487732,-0.24244181531776834,-0.7726876495828054,0.2729226540013706,0,0
2016-01-31,600183.SH,0.5291005291005296,-0.5357110399279125,-0.015653239814879354,-0.20322634128230638,-0.19966376342201342,-0.0001539710613383431,1.1419109656415911,-0.07402718303257938,-0.08688214109359794,-0.04770853636614165,0.6620974894414846,0.749628101964362,-0.25838441905535914,-0.24856821032916263,-0.34006209104303753,-0.1344995496967574,-0.3785360126866808,-0.040325479019286646,-0.3345193434630705,-0.4522004689580498,-0.5045885037690757,-0.5518838523871753,-0.5635447110241288,-0.605296742931399,-0.33729728136117276,-0.7614728381309567,0.7608286244153248,0,0
2016-01-31,601288.SH,0.0,-0.7270634483074772,3.0227512436458936,3.0129347527379875,2.03307736755891,-0.16116956190091727,2.893701176480769,-0.0746425831911202,-0.10091907751214818,-0.06570845674094021,-0.5161582454692997,-0.6973696831137889,5.954969097533156,6.019295357827033,4.656642113610437,0.0,-1.2011204905830952,-0.039389237083214484,1.7271736579521955,3.035588632719378,-0.7486096794985779,-0.7880748193939389,-0.8199983977731814,-0.8573018770592569,0.0439487263902026,-0.9406397622585301,0.8057081247607074,0,0
2016-01-31,601360.SH,-4.00745573159366,-0.40297862536265633,0.14748142853086668,0.13259191663685294,-0.3798473775491249,-0.036679632014465974,0.8589323436532467,-0.07499979489252115,-0.11245695176424365,-0.0767437596418985,0.9160600905967923,0.9750283983044578,-0.2604995828225059,-0.24965990794050286,-0.35317006215776936,-0.1256886377559063,0.141778266027689,-0.040270876528168055,-0.5152701534005377,-0.4878744355429408,-0.2734254212598307,-0.3293977933425326,-0.2907005685280331,-0.3491640346721864,-0.8152228987337097,-0.4147573100326014,0.5566119278818618,0,0
2016-01-31,601988.SH,-1.5527950310559089,-0.7174330207522692,2.892584005373273,2.875100627532894,2.3340722835572008,-0.23024215996839037,2.7776456976279036,-0.07463860470941296,-0.10060096878423898,-0.09226543480561573,-0.5178486088938252,-0.6972794517460051,5.614018483740134,5.595203832694728,5.259849843996957,0.0,-1.198823318729068,-0.03924375078800145,1.672315452396351,2.412150066644047,-0.7207740271426359,-0.7569471826927389,-0.7845930326398405,-0.8219386067987295,-0.056379170386475046,-0.8926879822504581,0.5693472048826888,0,0
2016-01-31,601225.SH,10.379746835443042,-0.6868668811205226,-0.5318426745631014,-1.0562362729500716,1.1265971747762231,0.3244594564242784,-0.42328146079735174,-0.16708291250914284,-1.2735752986447024,-1.3616923558552438,-1.435307460304124,-0.8682258303123419,-0.22986775905904097,-0.23074014442906926,-0.19738301146773393,-0.19535260767558207,0.2195003176127494,-0.04083852156224726,0.1362291823171161,-0.32724649155979085,-0.6884168475004495,-0.7202063656027978,-0.7045224376459772,-0.7208688186093365,-0.07826889331956843,-0.7276163422991031,-0.1711158078594633,0,0
2016-01-31,300223.SZ,-5.617021276595746,0.13171946107214472,-0.9315546326604502,-0.914484512841005,-0.6005534730516131,-0.801331982123263,-0.8961577279043874,0.30020193206814977,1.0836185752986436,1.2931403813596505,-0.23429897189657767,-0.29106419680654955,-0.2610866646297789,-0.25008752555246105,-0.35544421709542995,2.975971476270741,1.2438251755950172,-0.03893894528332078,-2.1818180090832984,-0.6722759673111476,0.4836478037307158,0.2885623385452249,0.41824854002307427,0.54982904820742,-2.3584483655167876,0.48515859926569066,0.006555606133989387,1,0
2016-01-31,601668.SH,0.0,-0.637458600619891,2.1791125838095056,2.4606425899424993,1.4377393675410908,5.760553994907552,1.1913466148954404,-0.07409355445619457,-0.05893720832754332,-0.026828939767511103,1.1562001782251985,0.25850970279652985,0.11409981901622204,0.06607087953310618,0.6284866294659153,-0.14565428372888237,-0.6642934480754215,-0.04043818116613066,1.057576635434559,0.269918863786226,-0.6313325655116139,-0.6622521005502123,-0.6662450289074142,-0.6897446785377683,-0.1329932006523017,-0.6610536906911578,0.872821369189758,0,0
2016-01-31,600999.SH,-6.742323097463283,-0.2250250727120765,-0.08573312538445917,1.4915052012718018,0.16507996089534802,-0.49549271573307635,2.3000375547736476,-0.052394622082222446,0.4155916605058702,0.4526203037098255,-0.508558887823507,-0.6925278285656671,-0.15957350454325625,-0.15812848922393066,-0.1594707788848284,0.0,-1.196538556863474,-0.039053226109734294,1.3013932974996618,0.6830087251393742,-0.0765976865805043,-0.13570662070766504,-0.04325915654019463,0.04451729261298855,-1.138096311996836,0.2587679185252655,0.44630652862083087,0,0
